zcta5,puma12,pop10,afact
10919,2902,1040,1
10920,3001,8554,1
10921,2902,315,0.076
10921,2903,3820,0.924
10922,2903,1559,1
10923,3001,8732,1
10924,2902,12862,0.98
10924,2903,258,0.02
10925,2903,4539,1
10926,2903,3203,1
10927,3001,11910,1
10928,2903,4175,1
10930,2901,465,0.052
10930,2903,8493,0.948
10931,3003,1023,1
10932,2902,60,1
10933,2902,473,1
10940,2701,634,0.013
10940,2902,47784,0.987
10941,2901,11,0.001
10941,2902,13768,0.999
10950,2903,47226,1
10952,3002,7923,0.204
10952,3003,30994,0.796
10953,2901,252,1
10954,3001,6494,0.282
10954,3002,16551,0.718
10956,3001,30301,0.961
10956,3003,1220,0.039
10958,2902,3291,1
10960,3002,15093,1
10962,3002,5950,1
10963,2902,4298,1
10964,3002,1472,1
10965,3002,14791,1
10968,3002,2353,1
10969,2903,1267,1
10970,3001,8080,0.809
10970,3003,1913,0.191
10973,2902,2126,1
10974,3001,3,0.001
10974,3003,3149,0.999
10975,2903,281,1
10976,3002,2258,1
10977,3002,7903,0.134
10977,3003,51145,0.866
10979,2903,234,1
10980,3001,13383,1
10983,3002,5532,1
10984,3001,2842,1
10985,2902,58,1
10986,3001,1974,1
10987,2903,3395,1
10988,2902,896,1
10989,3001,6289,0.677
10989,3002,3004,0.323
10990,2903,20631,1
10992,2901,568,0.059
10992,2902,275,0.029
10992,2903,8778,0.912
10993,3001,4769,1
10994,3002,7085,1
10996,2903,6756,1
10998,2902,3122,1
11001,3204,3224,0.12
11001,3205,19437,0.723
11001,4105,4222,0.157
11003,3205,36704,0.888
11003,3211,4496,0.109
11003,4105,156,0.004
11004,4105,14016,1
11005,4105,1806,1
11010,3205,23821,1
11020,3201,5914,1
11021,3201,17729,1
11023,3201,9027,1
11024,3201,8002,1
11030,3201,17962,1
11040,3201,129,0.003
11040,3204,34379,0.843
11040,3205,4099,0.101
11040,4105,2175,0.053
11042,3201,520,1
11050,3201,30171,1
11096,3212,8344,1
11101,4101,15363,0.603
11101,4109,10121,0.397
11102,4101,34133,1
11103,4101,38581,0.995
11103,4109,199,0.005
11104,4109,27232,1
11105,4101,36688,1
11106,4101,38875,1
11109,4109,3523,1
11201,4004,45719,0.894
11201,4005,5409,0.106
11203,4009,810,0.011
11203,4010,60536,0.795
11203,4011,14828,0.195
11204,4014,28496,0.365
11204,4017,49638,0.635
11205,4003,12099,0.3
11205,4004,28267,0.7
11206,4001,20525,0.251
11206,4002,23281,0.285
11206,4003,37871,0.464
11207,4002,17408,0.186
11207,4007,29366,0.314
11207,4008,45892,0.491
11207,4009,720,0.008
11208,4008,94469,1
11209,4013,68853,1
11210,4009,20446,0.33
11210,4010,11639,0.188
11210,4015,29799,0.481
11210,4016,124,0.002
11211,4001,90117,1
11212,4007,58562,0.693
11212,4010,25122,0.297
11212,4011,816,0.01
11213,4006,49149,0.771
11213,4011,14618,0.229
11214,4017,80135,0.904
11214,4018,8495,0.096
11215,4005,53511,0.843
11215,4012,9977,0.157
11216,4003,27628,0.509
11216,4004,2707,0.05
11216,4006,23981,0.442
11217,4004,19970,0.557
11217,4005,12836,0.358
11217,4006,3075,0.086
11218,4012,14277,0.19
11218,4014,50869,0.676
11218,4015,10074,0.134
11219,4012,9649,0.105
11219,4013,14504,0.157
11219,4014,63563,0.689
11219,4017,4505,0.049
11220,4012,86201,0.865
11220,4013,13213,0.133
11220,4014,184,0.002
11221,4002,38669,0.49
11221,4003,40226,0.51
11222,4001,36934,1
11223,4016,27908,0.354
11223,4017,30790,0.391
11223,4018,20033,0.254
11224,4018,47621,1
11225,4011,56829,1
11226,4010,28606,0.282
11226,4011,20038,0.197
11226,4015,52928,0.521
11228,4013,25220,0.604
11228,4017,16568,0.396
11229,4009,1017,0.013
11229,4015,476,0.006
11229,4016,78525,0.981
11230,4014,20435,0.236
11230,4015,65362,0.756
11230,4016,611,0.007
11231,4004,674,0.02
11231,4005,32662,0.98
11232,4005,995,0.035
11232,4012,27270,0.965
11233,4003,15530,0.232
11233,4006,20245,0.302
11233,4007,31278,0.466
11234,4009,87757,1
11235,4016,40583,0.513
11235,4018,38549,0.487
11236,4007,372,0.004
11236,4008,787,0.008
11236,4009,82973,0.884
11236,4010,9745,0.104
11237,4001,1,0
11237,4002,49895,1
11238,4003,863,0.018
11238,4004,21242,0.431
11238,4005,589,0.012
11238,4006,26568,0.539
11239,4008,13393,1
11354,4103,54878,1
11355,4103,85871,1
11356,4103,23438,1
11357,4103,39150,1
11358,4103,23184,0.617
11358,4104,14362,0.383
11360,4103,14799,0.784
11360,4104,4085,0.216
11361,4104,28606,1
11362,4104,17823,1
11363,4104,6988,1
11364,4104,34482,0.998
11364,4106,73,0.002
11365,4103,3057,0.072
11365,4104,7637,0.181
11365,4106,31558,0.747
11366,4106,13532,1
11367,4103,3951,0.096
11367,4106,37076,0.903
11367,4107,20,0
11368,4102,51928,0.472
11368,4107,58003,0.528
11369,4102,38615,1
11370,3710,11091,0.279
11370,4101,6515,0.164
11370,4102,22082,0.556
11372,4102,66474,0.998
11372,4109,162,0.002
11373,4107,88118,0.874
11373,4108,855,0.008
11373,4109,11847,0.118
11374,4108,42400,0.972
11374,4110,1200,0.028
11375,4108,68733,1
11377,4101,4019,0.045
11377,4102,4240,0.047
11377,4109,80645,0.898
11377,4110,926,0.01
11378,4109,189,0.005
11378,4110,34792,0.995
11379,4110,34821,1
11385,4110,98592,1
11411,4105,18056,0.973
11411,4112,500,0.027
11412,4105,1675,0.048
11412,4112,33207,0.952
11413,4105,32323,0.831
11413,4112,6589,0.169
11414,4113,26148,1
11415,4111,19341,1
11416,4111,24142,0.971
11416,4113,719,0.029
11417,4111,1193,0.041
11417,4113,27774,0.959
11418,4111,36256,1
11419,4111,22988,0.487
11419,4113,24223,0.513
11420,4113,44354,1
11421,4111,39127,1
11422,4105,30425,1
11423,4106,7421,0.247
11423,4112,22566,0.753
11426,4105,17590,1
11427,4104,2869,0.122
11427,4105,15744,0.667
11427,4106,4850,0.206
11427,4112,130,0.006
11428,4105,18846,0.983
11428,4112,322,0.017
11429,4105,24753,0.986
11429,4112,352,0.014
11430,4113,184,1
11432,4106,35383,0.582
11432,4112,25426,0.418
11433,4112,32687,1
11434,4105,6901,0.117
11434,4112,52228,0.883
11435,4106,24124,0.449
11435,4112,29563,0.551
11436,4112,17949,1
11501,3204,19148,1
11507,3201,99,0.013
11507,3204,7307,0.987
11509,3212,2653,1
11510,3206,4,0
11510,3210,33044,1
11514,3204,4673,1
11516,3212,7556,1
11518,3212,10549,1
11520,3206,43341,1
11530,3205,27041,0.991
11530,3206,232,0.009
11542,3202,27633,1
11545,3202,12065,1
11547,3201,252,0.318
11547,3202,541,0.682
11548,3201,787,0.283
11548,3202,1993,0.717
11549,3206,2922,1
11550,3205,14,0
11550,3206,53905,0.955
11550,3210,2448,0.043
11550,3211,68,0.001
11552,3205,722,0.031
11552,3211,22894,0.969
11553,3206,26034,1
11554,3207,38132,1
11556,3206,17,1
11557,3211,71,0.009
11557,3212,7752,0.991
11558,3210,8370,1
11559,3212,8176,1
11560,3202,6464,1
11561,3210,2718,0.073
11561,3212,34562,0.927
11563,3210,26,0.001
11563,3211,20194,0.891
11563,3212,2446,0.108
11565,3211,8690,1
11566,3209,35321,1
11568,3201,2553,0.56
11568,3202,2002,0.44
11569,3210,1398,1
11570,3210,24919,0.935
11570,3211,1727,0.065
11572,3210,30574,1
